label,linewidth,density,lineheight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C99
0KDMANEL,0.21,0.2977,0.20238,0.482709,0.462889,0.660551,0.464942,0.693141,0.620819,0.675284,0.760604,0.518866,0.777163,0.528603,0.585384,0.716247,0.557890,0.787582,0.602690
0KDMANEL,0.1625,0.22462,0.38942,0.478148,0.467694,0.522532,0.401858,0.486584,0.818702,0.563772,0.603612,0.523003,0.772988,0.521693,0.683449,0.807258,0.609409,0.636580,0.685225
0KDMANEL,0.11458,0.33427,0.27349,0.611407,0.494094,0.494014,0.412495,0.488203,0.619075,0.545954,0.814204,0.474013,0.544816,0.515379,0.621420,0.629851,0.559671,0.476940,0.495123
0KDMANEL,0.14286,0.35238,0.23629,0.643387,0.611998,0.453433,0.375324,0.401393,0.680488,0.591628,0.762985,0.597676,0.582004,0.439116,0.573042,0.764788,0.567565,0.585540,0.672287
0KDMANEL,0.13889,0.32735,0.35198,0.538734,0.487413,0.496682,0.400847,0.487817,0.676858,0.526193,0.905704,0.513700,0.601112,0.490653,0.590593,0.665750,0.552887,0.721292,0.485823
0KDMANEL,0.14167,0.3662,0.39049,0.625638,0.527151,0.484569,0.411071,0.487878,0.695773,0.561979,0.842974,0.484598,0.629060,0.548460,0.582446,0.665023,0.634525,0.641779,0.527352
0KDMANEL,0.14375,0.36285,0.37376,0.595761,0.484051,0.472649,0.458272,0.671709,0.713540,0.647825,0.800146,0.491343,0.704778,0.503234,0.609712,0.679883,0.586373,0.712251,0.497076
0KDMANEL,0.10625,0.26462,0.26548,0.535106,0.492152,0.425862,0.456664,0.492130,0.604409,0.520176,0.849130,0.409576,0.538639,0.449781,0.638359,0.573141,0.518018,0.544715,0.480021
0KDMANEL,0.35,0.33233,0.18508,0.585267,0.464271,0.466380,0.394071,0.671709,0.727563,0.668074,0.830037,0.480305,0.705624,0.491738,0.600073,0.665750,0.572827,0.722596,0.698658
0KDMANEL,0.15,0.39518,0.17055,0.555314,0.488921,0.428023,0.455446,0.526541,0.660857,0.620412,0.853133,0.439374,0.657373,0.490376,0.601322,0.651903,0.530379,0.666865,0.602123
0KDMANEL,0.11136,0.30421,0.28511,0.572174,0.488921,0.514989,0.436645,0.537368,0.734795,0.569115,0.783920,0.501772,0.558147,0.441538,0.641505,0.624881,0.556686,0.671047,0.605822
0KDMANEL,0.15833,0.31438,0.28602,0.570547,0.476278,0.625132,0.473343,0.665172,0.716554,0.774226,0.802451,0.538915,0.801909,0.517312,0.556490,0.724786,0.606531,0.783159,0.586408
0KDMANEL,0.2,0.2954,0.2069,0.520027,0.487284,0.660551,0.445486,0.693141,0.626577,0.675284,0.798618,0.518866,0.777163,0.528603,0.585384,0.716247,0.568223,0.803922,0.645266
0KDMANEL,0.10938,0.31149,0.25559,0.462512,0.441488,0.400799,0.392677,0.472147,0.763507,0.448155,0.784962,0.418560,0.542894,0.422500,0.608021,0.523810,0.529826,0.645274,0.473137
0KDMANEL,0.1125,0.28361,0.26728,0.522825,0.538571,0.475625,0.449774,0.549573,0.777787,0.545416,0.788280,0.455364,0.561201,0.445895,0.627271,0.585820,0.529826,0.731672,0.525799
0KDMANEL,0.13611,0.32939,0.18228,0.531688,0.482351,0.522895,0.437375,0.657614,0.822774,0.664550,0.799243,0.484151,0.747520,0.470679,0.638742,0.738985,0.555981,0.788378,0.591943
0KDMANEL,0.12045,0.27582,0.24674,0.538787,0.501592,0.532624,0.449774,0.492130,0.612923,0.517494,0.873744,0.438889,0.535798,0.454819,0.638359,0.566858,0.625043,0.545441,0.505974
0KDMANEL,0.14722,0.32678,0.20922,0.666542,0.611998,0.544889,0.401903,0.575000,0.722559,0.656525,0.933291,0.571872,0.598025,0.401773,0.563225,0.738985,0.567728,0.687429,0.543380
0KDMANEL,0.175,0.35508,0.15495,0.569523,0.478992,0.486608,0.464415,0.542793,0.680142,0.594707,0.864612,0.426516,0.660546,0.511967,0.611280,0.686886,0.585484,0.695379,0.698658
0KDMANEL,0.31042,0.36957,0.89744,0.611849,0.462995,0.619225,0.436999,0.671709,0.751722,0.598778,0.790159,0.542860,0.650035,0.533082,0.551684,0.723747,0.562980,0.755801,0.581650
0KDMANEL,0.1375,0.29757,0.39465,0.480791,0.445300,0.484603,0.396321,0.492130,0.578776,0.498483,0.676974,0.485505,0.628916,0.505196,0.621402,0.716247,0.599799,0.549269,0.476335
0KDMANEL,0.12885,0.30161,0.25641,0.522825,0.538571,0.530837,0.449774,0.579582,0.752014,0.545416,0.780033,0.481864,0.619272,0.445895,0.627271,0.631557,0.561053,0.749954,0.490599
0KDMANEL,0.11,0.36113,0.35849,0.663009,0.478992,0.502794,0.370037,0.557640,0.728715,0.636262,0.885780,0.507740,0.616599,0.513174,0.631611,0.665527,0.588572,0.667592,0.568031
0KDMANEL,0.13824,0.34007,0.23619,0.633579,0.630466,0.516348,0.390592,0.469291,0.686254,0.578984,0.716219,0.588606,0.571939,0.401608,0.592083,0.729014,0.576094,0.628573,0.523065
0KDMANEL,0.125,0.31562,0.24899,0.658218,0.611998,0.576132,0.399959,0.505158,0.727319,0.679145,0.941137,0.584846,0.645127,0.451875,0.583109,0.764788,0.593017,0.688079,0.549204
0KDMANEL,0.11667,0.3629,0.30141,0.671763,0.577287,0.494839,0.391505,0.461622,0.636785,0.545416,0.652376,0.507740,0.548047,0.481083,0.668448,0.640899,0.566049,0.536738,0.554985
0KDMANEL,0.11458,0.33427,0.27349,0.611407,0.494094,0.494014,0.412495,0.488203,0.619075,0.545954,0.814204,0.474013,0.544816,0.515379,0.621420,0.629851,0.559671,0.476940,0.495123
0KDMANEL,0.1325,0.29531,0.27768,0.589010,0.488921,0.524171,0.418308,0.540057,0.616812,0.550572,0.563455,0.518463,0.545057,0.523728,0.609712,0.628784,0.562185,0.785838,0.530053
0KDMANEL,0.19464,0.31932,0.34316,0.648329,0.465237,0.622890,0.473343,0.673793,0.773877,0.641796,0.798044,0.548796,0.701348,0.577938,0.582835,0.786796,0.572759,0.779798,0.592288
0KDMANEL,0.15,0.34032,0.23545,0.633902,0.581899,0.453433,0.384889,0.419459,0.666259,0.647869,0.725762,0.577905,0.582004,0.432542,0.563660,0.773071,0.586913,0.643196,0.682978
0KDMANEL,0.115,0.25217,0.27207,0.461230,0.462889,0.443140,0.443790,0.492130,0.582379,0.409636,0.832720,0.401735,0.528479,0.431187,0.594665,0.566858,0.515171,0.511297,0.673503
0KDMANEL,0.18289,0.32934,0.24379,0.628656,0.488921,0.504186,0.464415,0.671709,0.859630,0.711715,0.894270,0.534190,0.734219,0.520735,0.624553,0.702844,0.596137,0.731198,0.602123
0KDMANEL,0.1975,0.30625,0.65068,0.521595,0.488873,0.609060,0.437335,0.657574,0.792970,0.670954,0.860488,0.459943,0.682922,0.520737,0.560961,0.705243,0.539081,0.753778,0.540371
0KDMANEL,0.1,0.34255,0.25969,0.652973,0.571900,0.455386,0.356761,0.503023,0.721093,0.505943,0.810269,0.559822,0.570804,0.463559,0.619774,0.632738,0.630241,0.511719,0.525757
0KDMANEL,0.39167,0.4,0.75789,0.480907,0.482910,0.469969,0.470021,0.643730,0.565520,0.502927,0.664011,0.472883,0.483607,0.497822,0.686690,0.629851,0.550416,0.700715,0.496694
0KDMANEL,0.115,0.33832,0.24671,0.666542,0.616567,0.528556,0.421516,0.455431,0.743318,0.602321,1.000000,0.584846,0.625855,0.439116,0.582582,0.764788,0.567565,0.686776,0.577703
0KDMANEL,0.49167,0.36161,0.62245,0.518540,0.488921,0.571343,0.401890,0.507326,0.750085,0.657912,0.880927,0.471318,0.712177,0.481619,0.572979,0.651903,0.553248,0.711769,0.698658
0KDMANEL,0.1225,0.33124,0.26847,0.615409,0.565078,0.452165,0.389210,0.617083,0.684170,0.542419,0.553068,0.447332,0.551223,0.513174,0.623306,0.611678,0.578949,0.770595,0.556159
0KDMANEL,0.1225,0.33124,0.26847,0.615409,0.565078,0.452165,0.389210,0.617083,0.684170,0.542419,0.553068,0.447332,0.551223,0.513174,0.623306,0.611678,0.578949,0.770595,0.556159
0KDMANEL,0.29167,0.40957,0.69079,0.553098,0.492344,0.663696,0.423391,0.618829,0.830296,0.752504,0.877697,0.505409,0.718592,0.478852,0.619774,0.679842,0.564704,0.786377,0.516652
0KDMANEL,0.25714,0.30354,0.12754,0.663876,0.462889,0.576132,0.437914,0.565187,0.787957,0.606462,0.789093,0.569262,0.678877,0.519456,0.597241,0.776442,0.585383,0.761933,0.581197
0KDMANEL,0.16905,0.33949,0.26466,0.663876,0.467656,0.525685,0.464415,0.672047,0.785789,0.634059,0.808097,0.564107,0.688776,0.547730,0.628319,0.764788,0.596975,0.705491,0.586758
0KDMANEL,0.11875,0.3281,0.34174,0.483985,0.490128,0.508951,0.408677,0.505336,0.678058,0.474982,0.917555,0.429074,0.604202,0.513174,0.571244,0.598662,0.536673,0.705110,0.492088
0KDMANEL,0.275,0.31783,0.30797,0.468710,0.446832,0.484569,0.403343,0.306540,0.486533,0.492551,NaN,0.469646,0.481128,0.495425,0.582446,0.665023,0.529228,0.496320,0.519104
0KDMANEL,0.11136,0.30421,0.28511,0.572174,0.488921,0.514989,0.436645,0.537368,0.734795,0.569115,0.783920,0.501772,0.558147,0.441538,0.641505,0.624881,0.556686,0.671047,0.605822
0KDMANEL,0.285,0.35086,0.65,0.643442,0.488921,0.596442,0.436519,0.524492,0.695773,0.566448,0.922347,0.519256,0.607520,0.418733,0.583109,0.651903,0.588572,0.722142,0.579182
0KDMANEL,0.125,0.32534,0.28672,0.649951,0.567265,0.463789,0.392677,0.394565,0.757991,0.547457,0.840925,0.575380,0.564741,0.534197,0.608021,0.688021,0.529826,0.547417,0.467309
